City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,qaqortoq,60.7167,-46.0333,278.11,88,51,2.54,GL,1720733309
169,kapuskasing,49.4169,-82.4331,299.2,44,40,2.06,CA,1720733310
170,badger,64.8,-147.5333,289.81,81,100,3.09,US,1720733311
171,gaigeturi,33.4644,126.3183,295.18,94,75,0.51,KR,1720733313
172,hami,42.8,93.45,299.16,26,6,8.97,CN,1720733314
173,trondheim,63.4305,10.3951,287.18,87,38,0.45,NO,1720733315
174,weno,7.4515,151.8468,300.12,89,100,3.6,FM,1720733316
175,kailua-kona,19.6406,-155.9956,301.13,78,40,4.12,US,1720733193
176,bridlington,54.0831,-0.1919,286.49,85,85,1.79,GB,1720733319
177,chonchi,-42.6128,-73.8092,281.71,83,4,0.79,CL,1720733320
178,codrington,-38.2667,141.9667,278.48,96,5,4.26,AU,1720733321
179,ponta delgada,37.7333,-25.6667,294.55,78,40,3.6,PT,1720733322
180,onega,63.9061,38.1404,286.87,69,99,2.66,RU,1720733324
181,roma,43.2128,-75.4557,298.0,86,100,4.12,US,1720733325
182,banes,20.9625,-75.7186,304.24,61,0,6.14,CU,1720733326
183,mugia,43.1041,-9.2179,291.02,92,97,6.84,ES,1720733327
184,salinas,36.6777,-121.6555,308.49,56,0,7.2,US,1720733329
185,saipan,15.1355,145.701,302.54,84,75,3.09,MP,1720733330
186,tazovsky,67.4667,78.7,287.68,87,99,4.67,RU,1720733331
187,nobeoka,32.5833,131.6667,296.49,97,100,2.96,JP,1720733334
188,salalah,17.0151,54.0924,300.2,94,100,1.54,OM,1720733335
189,betio village,1.358,172.9211,303.17,74,100,2.94,KI,1720733336
190,timmins,48.4669,-81.3331,299.05,29,0,0.0,CA,1720733337
191,sheikhpura,25.15,85.85,299.86,89,100,5.89,IN,1720733339
192,argostolion,38.1811,20.489,300.07,61,5,0.62,GR,1720733340
193,east london,-33.0153,27.9116,292.91,47,39,2.82,ZA,1720733342
194,ekangala,-25.6962,28.7492,280.58,29,0,0.61,ZA,1720733343
195,lionel town,17.8101,-77.2406,304.09,69,64,4.48,JM,1720733344
